frame_time,frame,dist_x,frame_time,H,W,C_x,C_y,dist_y,gps_dist,unit,vehicle
2020-03-06 20:48:13,308940,41.70418604651163,20:48:13,39,56,424.0,389.5,31.530641025641028,29.53674007937652,10,car
2020-03-06 20:48:14,308970,43.73853658536585,20:48:14,45,52,428.0,395.5,27.326555555555558,28.943122541056,10,car
2020-03-06 20:48:15,309000,45.98153846153846,20:48:15,39,52,432.0,392.5,31.530641025641028,29.419734708785768,10,car
2020-03-06 20:48:16,309030,45.98153846153846,20:48:16,39,52,434.0,394.5,31.530641025641028,29.91781655785972,10,car
2020-03-06 20:48:17,309060,43.73853658536585,20:48:17,39,52,430.0,394.5,31.530641025641028,30.32809370450633,10,car
2020-03-06 20:48:18,309090,41.70418604651163,20:48:18,39,56,434.0,394.5,31.530641025641028,30.75757384665138,10,car
2020-03-06 20:48:19,309120,41.70418604651163,20:48:19,45,56,434.0,397.5,27.326555555555558,30.75757384665138,10,car
2020-03-06 20:48:20,309150,41.70418604651163,20:48:20,39,56,432.0,397.5,31.530641025641028,31.14432341867232,10,car
2020-03-06 20:48:21,309180,41.70418604651163,20:48:21,45,54,431.0,395.5,27.326555555555558,31.14432341867232,10,car
2020-03-06 20:48:22,309210,41.70418604651163,20:48:22,39,54,431.0,400.5,31.530641025641028,31.489582145599417,10,car
2020-03-06 20:48:23,309240,43.73853658536585,20:48:23,39,52,434.0,392.5,31.530641025641028,31.489582145599417,10,car
2020-03-06 20:48:24,309270,45.98153846153846,20:48:24,39,54,433.0,394.5,31.530641025641028,31.765895321959704,10,car
2020-03-06 20:48:25,309300,43.73853658536585,20:48:25,39,50,431.0,389.5,31.530641025641028,31.970192331819558,10,car
2020-03-06 20:48:26,309330,45.98153846153846,20:48:26,34,52,432.0,398.0,36.167500000000004,32.14835474309291,10,car
2020-03-06 20:48:27,309360,45.98153846153846,20:48:27,37,50,435.0,396.5,33.23500000000001,32.43947490374395,10,car
2020-03-06 20:48:28,309390,48.46702702702703,20:48:28,37,48,432.0,393.5,33.23500000000001,32.43947490374395,10,car
2020-03-06 20:48:29,309420,48.46702702702703,20:48:29,37,48,430.0,396.5,33.23500000000001,32.43947490374395,10,car
2020-03-06 20:48:30,309450,48.46702702702703,20:48:30,37,48,432.0,393.5,33.23500000000001,32.43947490374395,10,car
2020-03-06 20:48:31,309480,45.98153846153846,20:48:31,34,46,437.0,395.0,36.167500000000004,32.43947490374395,10,car
2020-03-06 20:48:32,309510,48.46702702702703,20:48:32,34,46,437.0,395.0,36.167500000000004,32.43947490374395,10,car
2020-03-06 20:48:33,309540,48.46702702702703,20:48:33,34,46,437.0,400.0,36.167500000000004,32.43947490374395,10,car
2020-03-06 20:48:34,309570,48.46702702702703,20:48:34,34,48,436.0,395.0,36.167500000000004,32.43947490374395,10,car
2020-03-06 20:48:35,309600,48.46702702702703,20:48:35,37,50,417.0,391.5,33.23500000000001,32.43947490374395,10,car
2020-03-06 20:48:36,309630,45.98153846153846,20:48:36,37,50,373.0,391.5,33.23500000000001,32.40046508248258,10,car
2020-03-06 20:48:37,309660,43.73853658536585,20:48:37,39,58,325.0,389.5,31.530641025641028,30.00967502970632,10,car
2020-03-06 20:48:38,309690,39.85066666666667,20:48:38,45,90,349.0,403.5,27.326555555555558,27.87075981943585,10,car
2020-03-06 20:48:39,309720,37.36,20:48:39,45,116,492.0,408.5,27.326555555555558,25.83579425961197,10,car
2020-03-06 20:48:40,309750,30.91862068965517,20:48:40,52,138,747.0,431.0,23.647980769230774,22.239925523950475,10,car
2020-03-06 20:48:46,309930,17.078857142857142,20:48:46,105,248,338.0,396.5,11.711380952380955,20.18027812304035,10,car
2020-03-06 20:48:47,309960,18.48742268041237,20:48:47,92,228,684.0,416.0,13.366250000000003,18.788673434906286,10,car
2020-03-06 20:48:48,309990,41.70418604651163,20:48:48,37,88,668.0,409.5,33.23500000000001,18.852244894743475,10,car
2020-03-06 20:48:49,310020,24.233513513513515,20:48:49,66,116,58.0,385.0,18.631742424242425,18.852244894743475,10,car
2020-03-06 20:48:50,310050,28.02,20:48:50,63,176,276.0,393.5,19.518968253968257,21.08243318545185,10,car
2020-03-06 20:48:51,310080,28.923870967741934,20:48:51,63,152,372.0,398.5,19.518968253968257,20.417076032658347,10,car
2020-03-06 20:48:52,310110,24.233513513513515,20:48:52,71,108,404.0,405.5,17.319647887323946,18.18418206901009,10,car
2020-03-06 20:48:53,310140,20.37818181818182,20:48:53,90,118,375.0,410.0,13.663277777777779,12.275465676978817,10,car
2020-03-06 20:48:54,310170,15.869734513274336,20:48:54,113,156,348.0,416.5,10.882256637168142,9.770733623462684,10,car
2020-03-06 20:48:55,310200,11.9552,20:48:55,145,204,318.0,426.5,8.480655172413794,8.189911076481458,10,car
2020-03-06 20:48:05,308700,12.282739726027398,20:48:05,140,212,348.0,430.0,8.783535714285716,8.714508808234012,10,car
2020-03-06 20:48:06,308730,14.579512195121952,20:48:06,121,176,362.0,420.5,10.162768595041324,9.659673051318189,10,car
2020-03-06 20:48:07,308760,19.92533333333333,20:48:07,90,128,378.0,407.0,13.663277777777779,16.11386078357223,10,car
2020-03-06 20:48:08,308790,27.17090909090909,20:48:08,63,98,397.0,398.5,19.518968253968257,19.81981101785447,10,car
2020-03-06 20:48:09,308820,30.91862068965517,20:48:09,55,80,406.0,397.5,22.35809090909091,22.829865016901767,10,car
2020-03-06 20:48:10,308850,35.8656,20:48:10,50,66,415.0,395.0,24.593900000000005,25.29483873856584,10,car
2020-03-06 20:48:11,308880,38.98434782608695,20:48:11,45,60,424.0,395.5,27.326555555555558,28.11830680801693,10,car
2020-03-06 20:48:12,308910,39.85066666666667,20:48:12,45,56,424.0,392.5,27.326555555555558,28.92329121473367,10,car
2020-03-06 20:48:13,308940,41.70418604651163,20:48:13,39,56,424.0,389.5,31.530641025641028,29.53674007937652,10,car
2020-03-06 20:48:14,308970,43.73853658536585,20:48:14,45,52,428.0,395.5,27.326555555555558,28.943122541056,10,car
2020-03-06 20:48:15,309000,45.98153846153846,20:48:15,39,52,432.0,392.5,31.530641025641028,29.419734708785768,10,car
2020-03-06 20:48:16,309030,45.98153846153846,20:48:16,39,52,434.0,394.5,31.530641025641028,29.91781655785972,10,car
2020-03-06 20:48:17,309060,43.73853658536585,20:48:17,39,52,430.0,394.5,31.530641025641028,30.32809370450633,10,car
2020-03-06 20:48:18,309090,41.70418604651163,20:48:18,39,56,434.0,394.5,31.530641025641028,30.75757384665138,10,car
2020-03-06 20:48:19,309120,41.70418604651163,20:48:19,45,56,434.0,397.5,27.326555555555558,30.75757384665138,10,car
2020-03-06 20:48:20,309150,41.70418604651163,20:48:20,39,56,432.0,397.5,31.530641025641028,31.14432341867232,10,car
2020-03-06 20:48:21,309180,41.70418604651163,20:48:21,45,54,431.0,395.5,27.326555555555558,31.14432341867232,10,car
2020-03-06 20:48:22,309210,41.70418604651163,20:48:22,39,54,431.0,400.5,31.530641025641028,31.489582145599417,10,car
2020-03-06 20:48:23,309240,43.73853658536585,20:48:23,39,52,434.0,392.5,31.530641025641028,31.489582145599417,10,car
2020-03-06 20:48:24,309270,45.98153846153846,20:48:24,39,54,433.0,394.5,31.530641025641028,31.765895321959704,10,car
2020-03-06 20:48:25,309300,43.73853658536585,20:48:25,39,50,431.0,389.5,31.530641025641028,31.970192331819558,10,car
2020-03-06 20:48:26,309330,45.98153846153846,20:48:26,34,52,432.0,398.0,36.167500000000004,32.14835474309291,10,car
2020-03-06 20:48:27,309360,45.98153846153846,20:48:27,37,50,435.0,396.5,33.23500000000001,32.43947490374395,10,car
